teastore-db-584d49598b-fll9k,test-master2,2023-12-12 19:16:41+00:00,2023-12-12 19:16:43+00:00,0:00:02,False
teastore-image-85cc9866c5-66kbr,test-worker-1,2023-12-12 19:16:40+00:00,2023-12-12 19:16:42+00:00,0:00:02,True
teastore-locust-6d4c8cdd86-k9v2c,test-master2,2023-12-12 19:16:40+00:00,2023-12-12 19:16:44+00:00,0:00:04,False
teastore-persistence-76979ffb5b-b9fmk,test-worker-2,2023-12-12 19:16:41+00:00,2023-12-12 19:16:43+00:00,0:00:02,False
teastore-recommender-7d5565cb5-hhml6,test-worker-1,2023-12-12 19:16:41+00:00,2023-12-12 19:16:43+00:00,0:00:02,True
teastore-registry-6ccff44d5d-xs9fs,test-worker-2,2023-12-12 19:16:41+00:00,2023-12-12 19:16:44+00:00,0:00:03,False
teastore-webui-548f9f56d8-kdghh,test-master2,2023-12-12 19:16:41+00:00,2023-12-12 19:16:43+00:00,0:00:02,False
total,total,2023-12-12 19:16:40.750000,2023-12-12 19:16:43.250000,1970-01-01 00:00:02.500000,0.25
teastore-auth-5896899dbb-lx8c9,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-db-584d49598b-lzrdf,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-image-85cc9866c5-xt8z6,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-locust-6d4c8cdd86-x8tmq,test-worker-4,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-persistence-76979ffb5b-wgdm7,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-recommender-7d5565cb5-d5gwf,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:44+00:00,0:00:03,False
teastore-registry-6ccff44d5d-x2xxn,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
teastore-webui-548f9f56d8-rhvzj,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
total,total,2023-12-13 21:01:41,2023-12-13 21:01:43.125000,1970-01-01 00:00:02.125000,0.0
teastore-auth-5896899dbb-lx8c9,test-master2,2023-12-13 21:01:41+00:00,2023-12-13 21:01:43+00:00,0:00:02,False
